Driver / Operator Type,Incident Time (24:00),Lighting,Roadway Type,Posted Speed Limit (MPH),State,Weather - Clear,Weather - Rain,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Severe Wind,Roadway Surface,Roadway Description,SV Pre-Crash Movement,CP Pre-Crash Movement,SV Precrash Speed (MPH),Crash With,SV Contact Area - Front,SV Contact Area - Rear,SV Contact Area - Left,SV Contact Area - Right,SV Contact Area - Front Left,SV Contact Area - Front Right,SV Contact Area - Rear Left,SV Contact Area - Rear Right,SV Were All Passengers Belted?,CP Any Air Bags Deployed?,SV Any Air Bags Deployed?,Automation System Engaged?,ADS Equipped?,Make,Model Year,Mileage,CP Was Vehicle Towed?,SV Was Vehicle Towed?
0.034657806,-0.031446725,0.051304914,-0.16219091,0.0,-5.9377868e-05,0.42049062,0.34149376,0.018795358,0.0033449722,0.003733635,-0.00094023277,-0.00801425,-0.01597174,-0.0022421444,-0.0017012903,0.005976359,-0.034468688,-0.03270927,0.011936704,-0.13029641,0.0007361006,-0.032176413,-0.17599422,-0.005295871,0.014456707,0.023227492,-0.11090402,-0.1343975,-0.061343182,-0.00058867456,-0.0046640127,0.00031163072,0.0006747401,0.04400393,0.0
0.033502005,-0.009352681,0.034261815,-0.1639067,0.0,0.0041927504,0.49273458,0.28153118,0.01045241,0.0033449722,0.003733635,-0.026511038,-0.00801425,0.024293525,-0.0022421444,-0.00061346457,0.011000491,-0.034877524,-0.02023096,0.014549056,-0.12357358,-0.009030606,-0.033827372,-0.20035926,-0.005295871,0.014140512,0.019994035,-0.119845144,-0.13311483,-0.06393024,-0.00032692222,-0.0052083144,0.00031163072,0.0006747401,0.043871325,0.0
-0.2931112,0.047913644,-0.085792705,0.04120193,0.0,0.0036226865,0.41140863,0.36529216,-0.00023244263,0.0033449722,0.003733635,-0.080238305,-0.00801425,0.12798882,-0.0022421444,-0.00035340956,0.009472733,-0.03802997,-0.002915317,0.01451329,-0.11599959,-0.0054973187,-0.032823406,-0.05113468,-0.005295871,0.012220653,0.021531021,-0.10639867,-0.017291797,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0038144307,0.04400393,0.0
0.030470952,-0.008759855,0.04800226,-0.59650606,0.0,0.0035138782,0.37632364,0.34285218,0.005281506,0.0033449722,0.003733635,-0.022819554,-0.00801425,0.11424504,-0.0022421444,-0.00035340956,0.0069809724,-0.0354011,-0.0023531204,0.01451329,-0.11961475,0.0016791547,-0.03155468,-0.01210704,-0.005295871,0.013497307,0.021959782,-0.09874869,-0.017965218,-0.06393024,-0.00032692222,-0.0040384354,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.0113997,0.034103535,-0.59159577,0.0,0.0035138782,0.4417094,0.28941715,-0.0022825967,0.0033449722,0.003733635,-0.025564307,-0.00801425,0.045678705,-0.0022421444,-0.00035340956,0.0069391048,-0.034182522,-0.0016314744,0.01451329,-0.11961475,-0.006927889,-0.033827372,-0.00342642,-0.005295871,0.013497307,0.021920398,-0.11821808,0.04094851,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.008759855,0.04800226,-0.59650606,0.0,0.0035138782,0.37632364,0.34285218,0.005281506,0.0033449722,0.003733635,-0.022819554,-0.00801425,0.11424504,-0.0022421444,-0.00035340956,0.0069809724,-0.0354011,-0.0023531204,0.01451329,-0.11961475,0.0016791547,-0.03155468,-0.01210704,-0.005295871,0.013497307,0.021959782,-0.09874869,-0.017965218,-0.06393024,-0.00032692222,-0.0040384354,0.00031163072,0.0014188256,0.04400393,0.0
-0.2931644,0.054556392,-0.085792705,0.040586296,0.0,0.0035598548,0.41051802,0.3629388,-0.00023244263,0.0033449722,0.003733635,-0.080238305,-0.00801425,0.12798882,-0.0022421444,-0.00035340956,0.009472733,-0.038579658,-0.002915317,0.01451329,-0.11599959,-0.0055353716,-0.032823406,-0.04569053,-0.005295871,0.012220653,0.021531021,-0.107753016,-0.016809436,-0.06393024,-0.00032692222,-0.0036649825,0.00031163072,0.0038144307,0.04400393,0.0
0.030470952,-0.008856034,0.04800226,-0.5962094,0.0,0.0035138782,0.4829732,0.34285218,0.0027258815,0.0033449722,0.003733635,-0.025880164,-0.00801425,0.114802755,-0.0022421444,-0.00035340956,0.010140224,-0.0354011,-0.0024633284,0.01451329,-0.11961475,-0.005147475,-0.03155468,-0.009295012,-0.005295871,0.013497307,0.01974671,-0.09874869,-0.017965218,-0.06393024,-0.00032692222,-0.003711945,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.0113997,0.04800226,-0.5862465,0.0,0.0035138782,0.44195604,0.3429187,0.0076815416,0.0033449722,0.003733635,-0.025564307,-0.00801425,0.04448715,-0.0022421444,-0.00035340956,0.0069391048,-0.03485141,-0.00016596801,0.01451329,-0.11961475,-0.006907913,-0.03155468,0.023142714,-0.005295871,0.013497307,0.021890312,-0.09704792,0.040911853,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
-0.2931112,-0.018363852,-0.111039326,0.039330292,0.0,0.0036226865,0.371791,0.413336,0.0092883,0.0033449722,0.003733635,-0.065788105,-0.00801425,0.12476224,-0.0022421444,-0.00035340956,0.008743476,-0.038666606,-0.0013396029,0.01451329,-0.11599959,0.001308616,-0.031230692,-0.01796933,-0.005295871,0.012220653,0.023127114,-0.09608249,-0.016846092,-0.06393024,-0.00032692222,-0.0040384354,0.00031163072,0.0038144307,0.04400393,0.0
-0.2904286,0.039885286,-0.10741884,0.040200785,0.0,0.0039202473,0.37294385,0.40744713,0.009618246,0.0033449722,0.003733635,-0.08311879,-0.00801425,0.12677538,-0.0022421444,-0.00035340956,0.010287928,-0.038084205,-0.0014498107,0.01451329,-0.11599959,-0.009654273,-0.031230692,-0.023265151,-0.005295871,0.012169179,0.023113783,-0.093397334,-0.017328454,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0038144307,0.04400393,0.0
0.029884,-0.010948141,0.034103535,-0.6020935,0.0,0.0046986197,0.44100994,0.28339517,-0.0075728297,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11544331,-0.0022421444,-0.00035340956,0.007280058,-0.0346995,-0.0039288346,0.01451329,-0.11961475,-0.0053675817,-0.033827372,-0.039731238,-0.005295871,0.013385001,0.021920398,-0.11893447,-0.017928561,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.011657565,0.034103535,-0.6020935,0.0,0.0035138782,0.44100994,0.28941715,-0.0075728297,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11544331,-0.0022421444,-0.00035340956,0.007280058,-0.034182522,-0.0039288346,0.01451329,-0.11961475,-0.0047009233,-0.033827372,-0.0452724,-0.005295871,0.013497307,0.021920398,-0.11821808,-0.018410923,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.006724701,0.03115403,-0.5995291,0.0,0.0035138782,0.4304833,0.28935063,-0.007261318,0.0033449722,0.003733635,-0.028760647,-0.00801425,0.11769427,-0.0022421444,-0.00035340956,0.011289615,-0.034732215,-0.0039288346,0.01451329,-0.11961475,-0.008312365,-0.033827372,-0.036640394,-0.005295871,0.013497307,0.021836402,-0.11991885,-0.017928561,-0.06393024,-0.00032692222,-0.003711945,0.00031163072,0.0014188256,0.04400393,0.0
-0.2931112,0.054556392,-0.085792705,0.040586296,0.0,0.0035598548,0.41037092,0.36522564,-0.00023244263,0.0033449722,0.003733635,-0.080238305,-0.00801425,0.12798882,-0.0022421444,-0.00035340956,0.009472733,-0.038579658,-0.002915317,0.01451329,-0.11599959,-0.0055353716,-0.032823406,-0.046275232,-0.005295871,0.012220653,0.021531021,-0.108099446,-0.016809436,-0.06393024,-0.00032692222,-0.0036649825,0.00031163072,0.0038144307,0.04400393,0.0
-0.31233615,0.05525717,-0.08601064,0.025739798,0.0,0.0017594033,0.41967317,0.36369652,0.020253306,0.0033449722,0.003733635,-0.08105371,-0.008727108,0.039317805,-0.0022421444,-0.00061346457,0.009806895,-0.03875769,-0.018828904,0.014549056,-0.11719604,-0.008739993,-0.032798517,-0.1014677,-0.005295871,0.0127184205,0.021662686,-0.10650502,-0.081318885,-0.06393024,-0.00032692222,-0.005112953,0.00031163072,0.0038144307,0.043871325,0.0
0.029884,-0.011003695,0.034103535,-0.6020935,0.0,0.004635788,0.44089687,0.28339517,-0.0075728297,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11544331,-0.0022421444,-0.00035340956,0.007280058,-0.0346995,-0.0039288346,0.01451329,-0.11961475,-0.0054056346,-0.033827372,-0.039888788,-0.005295871,0.013385001,0.021920398,-0.11893447,-0.017928561,-0.06393024,-0.00032692222,-0.0036649825,0.00031163072,0.0014188256,0.04400393,0.0
0.033502005,-0.007085572,0.03131231,-0.1671831,0.0,0.004255581,0.41940138,0.28159773,0.0044445726,0.0033449722,0.003733635,-0.029409716,-0.00801425,0.051322494,-0.0022421444,-0.00061346457,0.012318863,-0.03432783,-0.021514595,0.014549056,-0.12357358,-0.009260844,-0.033827372,-0.17759119,-0.005295871,0.014140512,0.022053642,-0.11814437,-0.15352912,-0.06393024,-0.00032692222,-0.0051599154,0.00031163072,0.0006747401,0.043871325,0.0
0.030470952,-0.0113997,0.04800226,-0.5862465,0.0,0.0035138782,0.44195604,0.34285218,0.0076815416,0.0033449722,0.003733635,-0.025564307,-0.00801425,0.04448715,-0.0022421444,-0.00035340956,0.0069391048,-0.0354011,-0.00016596801,0.01451329,-0.11961475,-0.006907913,-0.03155468,0.050914466,-0.005295871,0.013497307,0.021890312,-0.09874869,0.042481504,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.029884,-0.010690277,0.034103535,-0.5914884,0.0,0.0046986197,0.45795956,0.28339517,-0.0023199846,0.0033449722,0.003733635,-0.025564307,-0.00801425,0.04509162,-0.0022421444,-0.00035340956,0.0069391048,-0.0346995,-0.0016314744,0.01451329,-0.11961475,-0.008020908,-0.033827372,0.02150507,-0.005295871,0.013385001,0.021920398,-0.11893447,0.0425352,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.030475508,-0.008653724,0.034103535,-0.21206602,0.0,0.0034510465,0.4930409,0.28656852,-0.019379372,0.0033449722,0.003733635,-0.02586197,-0.00801425,0.03341275,-0.0022421444,-0.00035340956,0.009799272,-0.034732215,0.0033832032,0.01451329,-0.11961475,-0.007863511,-0.033827372,-0.045155622,-0.005295871,0.013497307,0.019580081,-0.11957242,-0.009049138,-0.06393024,-0.00032692222,-0.003760344,0.00031163072,0.0006747401,0.04400393,0.0
0.029888555,-0.0058530914,0.04800226,-0.21805277,0.0,0.004635788,0.43043062,0.33159485,-0.012063209,0.0033449722,0.003733635,-0.023766283,-0.00801425,0.07474731,-0.0022421444,-0.00035340956,0.008797362,-0.03501487,0.0024763604,0.014549056,-0.11961475,0.0005783348,-0.03155468,-0.052295446,-0.005295871,0.013385001,0.019816179,-0.09538825,-0.03753847,-0.06393024,-0.00032692222,-0.0048431284,0.00031163072,0.0006747401,0.043871325,0.0
0.030470952,-0.011657565,0.034103535,-0.6020935,0.0,0.0035138782,0.44100994,0.28941715,-0.0075728297,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11544331,-0.0022421444,-0.00035340956,0.007280058,-0.034182522,-0.0039288346,0.01451329,-0.11961475,-0.0047009233,-0.033827372,-0.0452724,-0.005295871,0.013497307,0.021920398,-0.11821808,-0.018410923,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
-0.2904286,0.04403994,-0.085792705,0.04120193,0.0,0.0038574156,0.41184548,0.3589708,-0.00023244263,0.0033449722,0.003733635,-0.08088738,-0.00801425,0.12798882,-0.0022421444,-0.00035340956,0.009472733,-0.038724974,-0.0030250861,0.014549056,-0.11599959,-0.006238061,-0.032823406,-0.045751076,-0.005295871,0.012169179,0.021531021,-0.10721518,-0.016789278,-0.06393024,-0.00032692222,-0.0036649825,0.00031163072,0.0038144307,0.043871325,0.0
-0.2931112,-0.018363852,-0.085792705,0.039715804,0.0,0.0036226865,0.37154436,0.36522564,-0.0005854543,0.0033449722,0.003733635,-0.065788105,-0.00801425,0.1259538,-0.0022421444,-0.00035340956,0.008743476,-0.038579658,-0.0028051091,0.01451329,-0.11599959,0.0012886401,-0.032823406,-0.04481068,-0.005295871,0.012220653,0.0231572,-0.108099446,-0.016809436,-0.06393024,-0.00032692222,-0.0040384354,0.00031163072,0.0038144307,0.04400393,0.0
0.034657806,-0.03166706,0.036221616,-0.1632298,0.0,-5.9377868e-05,0.423525,0.2879208,0.010256421,0.0033449722,0.003733635,-0.00094023277,-0.00801425,-0.015559251,-0.0022421444,-0.00061346457,0.009023277,-0.03416653,-0.020669285,0.01451329,-0.13023643,0.00088161184,-0.034449104,-0.19450416,-0.005295871,0.014456707,0.023428762,-0.13250315,-0.13331848,-0.06393024,-0.00058867456,-0.0046640127,0.00031163072,0.0006747401,0.04400393,0.0
-0.2931112,-0.021261558,-0.111039326,0.039392073,0.0,0.0036226865,0.43672395,0.41340253,0.0063981,0.0033449722,0.003733635,-0.068551056,-0.00801425,0.12477684,-0.0022421444,-0.00035340956,0.009042563,-0.038116917,-0.0014498107,0.01451329,-0.11599959,-0.005051486,-0.031230692,-0.023789303,-0.005295871,0.012220653,0.023057645,-0.09438172,-0.017328454,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0038144307,0.04400393,0.0
0.030470952,-0.011657565,0.04800226,-0.5967442,0.0,0.0035138782,0.44125658,0.34285218,0.0023913074,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11425175,-0.0022421444,-0.00035340956,0.007280058,-0.0354011,-0.0024633284,0.01451329,-0.11961475,-0.0046809474,-0.03155468,-0.012910004,-0.005295871,0.013497307,0.021890312,-0.09874869,-0.017965218,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.011657565,0.04800226,-0.59663683,0.0,0.0035138782,0.45750675,0.3429187,0.002353919,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11401637,-0.0022421444,-0.00035340956,0.007280058,-0.03485141,-0.0024633284,0.01451329,-0.11961475,-0.005107306,-0.03155468,-0.021291403,-0.005295871,0.013497307,0.021890312,-0.09704792,-0.018430544,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.031003624,-0.025396507,0.036103893,-0.20945528,0.0,0.0023242347,0.3596367,0.28674382,-0.018757341,0.0033449722,0.003733635,-0.0020209723,-0.00801425,-0.026074806,-0.0022421444,-0.00035340956,0.007698871,-0.03416653,0.0032850082,0.01451329,-0.12637739,0.014452451,-0.034449104,-0.01792513,-0.005295871,0.013713328,0.02308428,-0.1315396,-0.008628548,-0.06393024,-0.00058867456,-0.003637894,0.00031163072,0.0006747401,0.04400393,0.0
0.034657806,-0.03150228,0.036221616,-0.16336206,0.0,-0.00020774826,0.4201309,0.2879922,0.008809674,0.0033449722,0.003733635,-0.00094023277,-0.00801425,-0.015559251,-0.0022421444,-0.0017012903,0.005976359,-0.033799797,-0.034174774,0.011936704,-0.13029641,0.0006800203,-0.034449104,-0.19152895,-0.005295871,0.014456707,0.023257578,-0.13250315,-0.13438329,-0.061343182,-0.00058867456,-0.0047124117,0.00031163072,0.0006747401,0.04400393,0.0
0.030470952,-0.011657565,0.034103535,-0.5995291,0.0,0.0035138782,0.44807738,0.28935063,-0.0072382567,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11771613,-0.0022421444,-0.00035340956,0.007280058,-0.034732215,-0.0039288346,0.01451329,-0.11961475,-0.004635024,-0.033827372,-0.036640394,-0.005295871,0.013497307,0.021920398,-0.11991885,-0.017928561,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.011657565,0.04800226,-0.5967442,0.0,0.0035138782,0.44125658,0.34285218,0.0023913074,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11425175,-0.0022421444,-0.00035340956,0.007280058,-0.0354011,-0.0024633284,0.01451329,-0.11961475,-0.0046809474,-0.03155468,-0.012910004,-0.005295871,0.013497307,0.021890312,-0.09874869,-0.017965218,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.031003624,-0.030345304,0.036103893,-0.21368927,0.0,0.0023242347,0.42014927,0.28681523,-0.026144918,0.0033449722,0.003733635,-0.0009584306,-0.00801425,-0.071934275,-0.0022421444,-0.0014412353,0.0053075575,-0.033799797,-0.021467641,0.011936704,-0.12643737,0.0033456977,-0.034449104,-0.045714322,-0.005295871,0.013713328,0.022977648,-0.1315396,-0.036902998,-0.061343182,-0.00058867456,-0.003216042,0.00031163072,0.0006747401,0.04400393,0.0
0.030470952,-0.008759855,0.034103535,-0.60174805,0.0,0.0035138782,0.39370224,0.28935063,-0.004720021,0.0033449722,0.003733635,-0.022819554,-0.00801425,0.114849515,-0.0022421444,-0.00035340956,0.0069809724,-0.034732215,-0.0038186267,0.01451329,-0.11961475,0.0010430276,-0.033827372,-0.042312786,-0.005295871,0.013497307,0.021989867,-0.11991885,-0.017911525,-0.06393024,-0.00032692222,-0.0040384354,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.008856034,0.034144092,-0.21917424,0.0,0.0035138782,0.4723077,0.28928673,-0.02498104,0.0033449722,0.003733635,-0.02776879,-0.00801425,0.07820231,-0.0022421444,-0.00035340956,0.010140224,-0.034935035,0.0012795688,0.01451329,-0.11961475,-0.0051630726,-0.034049116,-0.071573906,-0.005295871,0.013497307,0.021368865,-0.12126215,-0.037056644,-0.06393024,-0.00032692222,-0.003711945,0.00031163072,0.0006747401,0.04400393,0.0
0.030470952,-0.008501992,0.04800226,-0.5859801,0.0,0.0035138782,0.3770231,0.3429187,0.008451868,0.0033449722,0.003733635,-0.022801358,-0.00801425,0.044480447,-0.0022421444,-0.00035340956,0.0068159197,-0.03485141,-5.576019e-05,0.01451329,-0.11961475,-0.00055539707,-0.03155468,0.023945678,-0.005295871,0.013497307,0.021959782,-0.09704792,0.040911853,-0.06393024,-0.00032692222,-0.0040384354,0.00031163072,0.0014188256,0.04400393,0.0
0.029884,-0.010394124,0.036144454,-0.59974045,0.0,0.004916362,0.45593694,0.28361103,-0.0072382567,0.0033449722,0.003733635,-0.025984632,-0.00801425,0.11771613,-0.0022421444,-0.00035340956,0.010625064,-0.034133814,-0.0039288346,0.01451329,-0.12025763,0.0023657442,-0.034449104,-0.03552604,-0.005295871,0.0133738555,0.020401299,-0.13090165,-0.017946871,-0.06393024,-0.00032692222,-0.0033114036,0.00031163072,0.0014188256,0.04400393,0.0
0.030470952,-0.011657565,0.034103535,-0.6020935,0.0,0.0035138782,0.44100994,0.28941715,-0.0075728297,0.0033449722,0.003733635,-0.025582502,-0.00801425,0.11544331,-0.0022421444,-0.00035340956,0.007280058,-0.034182522,-0.0039288346,0.01451329,-0.11961475,-0.0047009233,-0.033827372,-0.0452724,-0.005295871,0.013497307,0.021920398,-0.11821808,-0.018410923,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.029884,-0.010690277,0.034103535,-0.59159577,0.0,0.0046986197,0.4417094,0.28339517,-0.0022825967,0.0033449722,0.003733635,-0.025564307,-0.00801425,0.045678705,-0.0022421444,-0.00035340956,0.0069391048,-0.0346995,-0.0016314744,0.01451329,-0.11961475,-0.007594547,-0.033827372,0.02486946,-0.005295871,0.013385001,0.021920398,-0.11893447,0.04251816,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.029888555,-0.010690277,0.034103535,-0.59159577,0.0,0.0046986197,0.4418565,0.28339517,-0.0022825967,0.0033449722,0.003733635,-0.025564307,-0.00801425,0.045678705,-0.0022421444,-0.00035340956,0.0069391048,-0.0346995,-0.0016314744,0.01451329,-0.11961475,-0.007594547,-0.033827372,0.025454164,-0.005295871,0.013385001,0.021920398,-0.11858804,0.04251816,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0014188256,0.04400393,0.0
0.031003624,-0.030258683,0.036103893,-0.20954254,0.0,0.0023242347,0.4242679,0.28674382,-0.01952133,0.0033449722,0.003733635,-0.00094023277,-0.00801425,-0.02607168,-0.0022421444,-0.00035340956,0.007822057,-0.03416653,0.0031748007,0.01451329,-0.12637739,0.0011708348,-0.034449104,-0.019232132,-0.005295871,0.013713328,0.02301481,-0.1315396,-0.008628548,-0.06393024,-0.00058867456,-0.003216042,0.00031163072,0.0006747401,0.04400393,0.0
-0.2931644,0.04407945,-0.08043404,0.040586296,0.0,0.0036226865,0.3728443,0.3629388,-0.00025550497,0.0033449722,0.003733635,-0.08311879,-0.00801425,0.12796696,-0.0022421444,-0.00035340956,0.010287928,-0.038579658,-0.002915317,0.01451329,-0.11599959,-0.00899628,-0.032823406,-0.04553298,-0.005295871,0.012220653,0.023129726,-0.107753016,-0.016809436,-0.06393024,-0.00032692222,-0.0036165833,0.00031163072,0.0038144307,0.04400393,0.0
0.034657806,-0.03166706,0.036221616,-0.1632298,0.0,-5.9377868e-05,0.423525,0.2879208,0.010256421,0.0033449722,0.003733635,-0.00094023277,-0.00801425,-0.015559251,-0.0022421444,-0.00061346457,0.009023277,-0.03416653,-0.020669285,0.01451329,-0.13023643,0.00088161184,-0.034449104,-0.19450416,-0.005295871,0.014456707,0.023428762,-0.13250315,-0.13331848,-0.06393024,-0.00058867456,-0.0046640127,0.00031163072,0.0006747401,0.04400393,0.0
